date,price
2024-01-01,99.69
2024-01-02,96.45
2024-01-03,95.96
2024-01-04,95.07
2024-01-05,93.98
2024-01-06,94.04
2024-01-07,95.96
2024-01-08,95.97
2024-01-09,96.81
2024-01-10,98.39
2024-01-11,98.53
2024-01-12,98.71
2024-01-13,98.95
2024-01-14,97.56
2024-01-15,95.76
2024-01-16,93.71
2024-01-17,94.15
2024-01-18,93.85
2024-01-19,93.02
2024-01-20,95.72
2024-01-21,99.41
2024-01-22,98.11
2024-01-23,95.72
2024-01-24,94.03
2024-01-25,94.59
2024-01-26,97.77
2024-01-27,97.37
2024-01-28,98.29
2024-01-29,96.96
2024-01-30,97.55
2024-01-31,99.20
2024-02-01,98.60
2024-02-02,98.70
2024-02-03,96.33
2024-02-04,99.10
2024-02-05,99.31
2024-02-06,98.00
2024-02-07,96.09
2024-02-08,96.67
2024-02-09,96.51
2024-02-10,96.52
2024-02-11,95.77
2024-02-12,93.98
2024-02-13,93.70
2024-02-14,95.45
2024-02-15,97.41
2024-02-16,96.35
2024-02-17,94.44
2024-02-18,94.29
2024-02-19,94.29
2024-02-20,94.23
2024-02-21,95.99
2024-02-22,93.88
2024-02-23,94.12
2024-02-24,94.23
2024-02-25,96.01
2024-02-26,96.32
2024-02-27,95.97
2024-02-28,97.07
2024-02-29,95.05
2024-03-01,95.64
2024-03-02,97.94
2024-03-03,97.47
2024-03-04,95.71
2024-03-05,97.28
2024-03-06,97.75
2024-03-07,99.82
2024-03-08,100.70
2024-03-09,102.31
2024-03-10,102.36
2024-03-11,102.72
2024-03-12,103.53
2024-03-13,103.59
2024-03-14,103.91
2024-03-15,102.79
2024-03-16,103.49
2024-03-17,103.66
2024-03-18,102.14
2024-03-19,101.39
2024-03-20,102.46
2024-03-21,102.25
2024-03-22,103.92
2024-03-23,103.21
2024-03-24,102.99
2024-03-25,103.42
2024-03-26,103.18
2024-03-27,102.34
2024-03-28,101.92
2024-03-29,105.89
2024-03-30,106.73
2024-03-31,106.42
2024-04-01,106.82
2024-04-02,107.38
2024-04-03,107.74
2024-04-04,108.59
2024-04-05,106.14
2024-04-06,106.01
2024-04-07,104.79
2024-04-08,103.61
2024-04-09,100.33
2024-04-10,99.16
2024-04-11,98.03
2024-04-12,99.86
2024-04-13,98.12
2024-04-14,98.31
2024-04-15,97.37
2024-04-16,97.55
2024-04-17,98.27
2024-04-18,98.51
2024-04-19,97.52
2024-04-20,97.85
2024-04-21,99.20
2024-04-22,99.07
2024-04-23,99.36
2024-04-24,100.22
2024-04-25,99.21
2024-04-26,99.93
2024-04-27,97.83
2024-04-28,97.88
2024-04-29,97.10
2024-04-30,96.58
2024-05-01,99.01
2024-05-02,98.07
2024-05-03,97.53
2024-05-04,97.55
2024-05-05,97.87
2024-05-06,96.47
2024-05-07,93.84
2024-05-08,95.43
2024-05-09,96.55
2024-05-10,96.98
2024-05-11,96.01
2024-05-12,95.23
2024-05-13,93.88
2024-05-14,94.49
2024-05-15,94.16
2024-05-16,93.34
2024-05-17,93.52
2024-05-18,93.14
2024-05-19,94.41
2024-05-20,93.09
2024-05-21,92.26
2024-05-22,90.38
2024-05-23,89.57
2024-05-24,88.51
2024-05-25,87.54
2024-05-26,88.42
2024-05-27,86.11
2024-05-28,84.92
2024-05-29,84.14
2024-05-30,83.08
2024-05-31,84.70
2024-06-01,84.96
2024-06-02,84.87
2024-06-03,83.70
2024-06-04,83.86
2024-06-05,83.29
2024-06-06,84.04
2024-06-07,85.29
2024-06-08,86.00
2024-06-09,87.15
2024-06-10,85.70
2024-06-11,85.61
2024-06-12,85.44
2024-06-13,82.35
2024-06-14,83.98
2024-06-15,85.62
2024-06-16,84.51
2024-06-17,85.44
2024-06-18,85.35
2024-06-19,88.46
2024-06-20,89.18
2024-06-21,88.60
2024-06-22,86.92
2024-06-23,87.08
2024-06-24,88.60
2024-06-25,90.53
2024-06-26,90.79
2024-06-27,90.51
2024-06-28,93.36
2024-06-29,94.30
2024-06-30,95.27
2024-07-01,96.27
2024-07-02,98.11
2024-07-03,99.00
2024-07-04,97.78
2024-07-05,96.48
2024-07-06,94.37
2024-07-07,94.40
2024-07-08,93.53
2024-07-09,95.81
2024-07-10,95.94
2024-07-11,93.42
2024-07-12,93.41
2024-07-13,95.26
2024-07-14,94.33
2024-07-15,94.40
2024-07-16,94.05
2024-07-17,95.63
2024-07-18,96.21
2024-07-19,96.06
2024-07-20,96.12
2024-07-21,95.94
2024-07-22,96.46
2024-07-23,95.52
2024-07-24,96.60
2024-07-25,97.01
2024-07-26,96.38
2024-07-27,96.53
2024-07-28,98.16
2024-07-29,100.62
2024-07-30,99.60
2024-07-31,99.21
2024-08-01,99.64
2024-08-02,99.81
2024-08-03,101.86
2024-08-04,102.23
2024-08-05,102.98
2024-08-06,100.18
2024-08-07,98.90
2024-08-08,97.84
2024-08-09,98.25
2024-08-10,97.20
2024-08-11,99.15
2024-08-12,101.28
2024-08-13,102.59
2024-08-14,102.22
2024-08-15,103.02
2024-08-16,101.61
2024-08-17,99.35
2024-08-18,97.45
2024-08-19,96.97
2024-08-20,94.98
2024-08-21,94.76
2024-08-22,96.87
2024-08-23,95.39
2024-08-24,93.99
2024-08-25,94.08
2024-08-26,93.29
2024-08-27,93.13
2024-08-28,92.50
2024-08-29,92.71
2024-08-30,91.97
2024-08-31,88.33
2024-09-01,89.49
2024-09-02,89.04
2024-09-03,87.08
2024-09-04,84.77
2024-09-05,88.21
2024-09-06,90.66
2024-09-07,87.81
2024-09-08,86.79
2024-09-09,85.97
2024-09-10,87.91
2024-09-11,87.12
2024-09-12,86.53
2024-09-13,85.91
2024-09-14,87.94
2024-09-15,88.43
2024-09-16,87.90
2024-09-17,90.31
2024-09-18,88.45
2024-09-19,87.43
2024-09-20,88.41
2024-09-21,91.27
2024-09-22,91.53
2024-09-23,91.26
2024-09-24,91.65
2024-09-25,91.06
2024-09-26,91.78
2024-09-27,89.10
2024-09-28,88.63
2024-09-29,87.81
2024-09-30,86.27
2024-10-01,86.70
2024-10-02,85.21
2024-10-03,86.05
2024-10-04,84.92
2024-10-05,86.46
2024-10-06,84.76
2024-10-07,86.97
2024-10-08,86.81
2024-10-09,88.23
2024-10-10,88.63
2024-10-11,89.16
2024-10-12,91.20
