date,units
2024-01-01,229
2024-01-02,197
2024-01-03,193
2024-01-04,167
2024-01-05,204
2024-01-06,265
2024-01-07,147
2024-01-08,236
2024-01-09,200
2024-01-10,176
2024-01-11,202
2024-01-12,216
2024-01-13,265
2024-01-14,163
2024-01-15,231
2024-01-16,181
2024-01-17,186
2024-01-18,205
2024-01-19,202
2024-01-20,270
2024-01-21,159
2024-01-22,241
2024-01-23,194
2024-01-24,184
2024-01-25,210
2024-01-26,216
2024-01-27,272
2024-01-28,145
2024-01-29,247
2024-01-30,196
2024-01-31,195
2024-02-01,189
2024-02-02,189
2024-02-03,256
2024-02-04,164
2024-02-05,262
2024-02-06,190
2024-02-07,176
2024-02-08,208
2024-02-09,212
2024-02-10,253
2024-02-11,158
2024-02-12,261
2024-02-13,199
2024-02-14,186
2024-02-15,194
2024-02-16,221
2024-02-17,282
2024-02-18,166
2024-02-19,255
2024-02-20,193
2024-02-21,193
2024-02-22,214
2024-02-23,231
2024-02-24,268
2024-02-25,172
2024-02-26,250
2024-02-27,198
2024-02-28,192
2024-02-29,199
2024-03-01,225
2024-03-02,255
2024-03-03,166
2024-03-04,257
2024-03-05,207
2024-03-06,194
2024-03-07,204
2024-03-08,227
2024-03-09,274
2024-03-10,151
2024-03-11,246
2024-03-12,201
2024-03-13,183
2024-03-14,191
2024-03-15,229
2024-03-16,267
2024-03-17,181
2024-03-18,249
2024-03-19,177
2024-03-20,194
2024-03-21,207
2024-03-22,232
2024-03-23,291
2024-03-24,168
2024-03-25,261
2024-03-26,202
2024-03-27,190
2024-03-28,196
2024-03-29,245
2024-03-30,270
2024-03-31,161
2024-04-01,261
2024-04-02,215
2024-04-03,196
2024-04-04,209
2024-04-05,232
2024-04-06,276
2024-04-07,154
2024-04-08,263
2024-04-09,187
2024-04-10,210
2024-04-11,222
2024-04-12,235
2024-04-13,298
2024-04-14,169
2024-04-15,246
2024-04-16,205
2024-04-17,191
2024-04-18,212
2024-04-19,224
2024-04-20,293
2024-04-21,164
2024-04-22,262
2024-04-23,196
2024-04-24,195
2024-04-25,223
2024-04-26,222
2024-04-27,282
2024-04-28,168
2024-04-29,255
2024-04-30,197
2024-05-01,206
2024-05-02,231
2024-05-03,241
2024-05-04,297
2024-05-05,175
2024-05-06,294
2024-05-07,204
2024-05-08,211
2024-05-09,222
2024-05-10,264
2024-05-11,286
2024-05-12,163
2024-05-13,259
2024-05-14,191
2024-05-15,204
2024-05-16,214
2024-05-17,244
2024-05-18,288
2024-05-19,162
2024-05-20,254
2024-05-21,203
2024-05-22,217
2024-05-23,232
2024-05-24,263
2024-05-25,286
2024-05-26,169
2024-05-27,280
2024-05-28,215
2024-05-29,204
2024-05-30,209
2024-05-31,234
2024-06-01,302
2024-06-02,176
2024-06-03,270
2024-06-04,219
2024-06-05,213
2024-06-06,230
2024-06-07,248
2024-06-08,274
2024-06-09,179
2024-06-10,277
2024-06-11,229
2024-06-12,226
2024-06-13,211
2024-06-14,253
2024-06-15,292
2024-06-16,173
2024-06-17,283
2024-06-18,226
2024-06-19,226
2024-06-20,237
2024-06-21,252
2024-06-22,297
2024-06-23,178
2024-06-24,281
2024-06-25,220
2024-06-26,216
2024-06-27,220
2024-06-28,244
2024-06-29,296
2024-06-30,177
2024-07-01,290
2024-07-02,211
2024-07-03,225
2024-07-04,242
2024-07-05,251
2024-07-06,286
2024-07-07,191
2024-07-08,277
2024-07-09,223
2024-07-10,215
2024-07-11,235
2024-07-12,275
2024-07-13,301
2024-07-14,186
2024-07-15,295
2024-07-16,233
2024-07-17,237
2024-07-18,242
2024-07-19,251
2024-07-20,292
2024-07-21,193
2024-07-22,264
2024-07-23,220
2024-07-24,222
2024-07-25,232
2024-07-26,268
2024-07-27,318
2024-07-28,179
2024-07-29,281
2024-07-30,218
2024-07-31,222
2024-08-01,239
2024-08-02,270
2024-08-03,322
2024-08-04,191
2024-08-05,305
2024-08-06,231
2024-08-07,214
2024-08-08,235
2024-08-09,245
2024-08-10,305
2024-08-11,184
2024-08-12,279
2024-08-13,231
2024-08-14,226
2024-08-15,241
2024-08-16,260
2024-08-17,298
2024-08-18,190
2024-08-19,296
2024-08-20,240
2024-08-21,231
2024-08-22,233
2024-08-23,256
2024-08-24,313
2024-08-25,205
2024-08-26,307
2024-08-27,238
2024-08-28,230
2024-08-29,265
2024-08-30,266
2024-08-31,316
2024-09-01,174
2024-09-02,297
2024-09-03,230
2024-09-04,227
2024-09-05,250
2024-09-06,272
2024-09-07,328
2024-09-08,186
2024-09-09,299
2024-09-10,240
2024-09-11,236
2024-09-12,235
2024-09-13,278
2024-09-14,321
2024-09-15,207
2024-09-16,307
2024-09-17,240
2024-09-18,229
2024-09-19,252
2024-09-20,289
2024-09-21,327
2024-09-22,199
2024-09-23,321
2024-09-24,241
2024-09-25,231
2024-09-26,224
2024-09-27,277
2024-09-28,331
2024-09-29,191
2024-09-30,325
2024-10-01,236
2024-10-02,247
2024-10-03,252
2024-10-04,282
2024-10-05,385
2024-10-06,241
2024-10-07,350
2024-10-08,316
2024-10-09,313
2024-10-10,318
2024-10-11,371
2024-10-12,405
2024-10-13,230
2024-10-14,371
2024-10-15,305
2024-10-16,323
2024-10-17,306
2024-10-18,327
2024-10-19,411
2024-10-20,252
2024-10-21,422
2024-10-22,320
2024-10-23,273
2024-10-24,307
2024-10-25,357
2024-10-26,431
2024-10-27,259
2024-10-28,414
2024-10-29,287
2024-10-30,307
2024-10-31,345
2024-11-01,321
2024-11-02,449
2024-11-03,251
2024-11-04,377
2024-11-05,314
2024-11-06,302
2024-11-07,312
2024-11-08,356
2024-11-09,429
2024-11-10,251
2024-11-11,437
2024-11-12,304
2024-11-13,294
2024-11-14,323
2024-11-15,353
2024-11-16,410
2024-11-17,264
2024-11-18,379
2024-11-19,312
2024-11-20,323
2024-11-21,346
2024-11-22,383
2024-11-23,407
2024-11-24,227
2024-11-25,422
2024-11-26,305
2024-11-27,328
2024-11-28,331
2024-11-29,373
2024-11-30,442
2024-12-01,257
2024-12-02,431
2024-12-03,325
2024-12-04,297
2024-12-05,326
2024-12-06,372
2024-12-07,434
2024-12-08,255
2024-12-09,410
2024-12-10,307
2024-12-11,303
2024-12-12,329
2024-12-13,371
2024-12-14,441
2024-12-15,244
2024-12-16,391
2024-12-17,341
2024-12-18,309
2024-12-19,334
2024-12-20,357
