age,income,debt_ratio,employment_years,region,has_mortgage,enquiries_6m,postcode_noise,defaulted
43,25470,0.615,8.1,south,no,4,5791,yes
52,26723,0.59,3.3,coastal,no,4,2209,yes
64,31164,0.341,8.3,inland,no,0,8462,no
65,44158,0.266,8.5,coastal,no,4,260,yes
49,73770,0.131,8.6,inland,no,5,4453,yes
47,28089,0.505,12.1,north,yes,3,4586,yes
42,47532,0.049,0,north,no,5,7409,yes
51,22155,0.566,10.3,inland,no,0,2843,yes
58,77104,0.49,13.5,inland,yes,4,3574,no
33,31460,0.295,2.2,coastal,yes,1,8279,no
48,64606,0.221,8.4,north,no,3,3544,yes
26,56911,0.02,6,inland,yes,5,178,yes
66,32661,0.379,8.7,north,no,5,2717,no
57,24096,0.135,0.9,coastal,yes,2,3120,no
23,34167,0.556,3,south,yes,1,8133,no
40,26522,0.02,10.6,coastal,no,1,2231,no
31,38968,0.061,11,coastal,yes,1,5648,no
28,36758,0.232,1.5,coastal,no,3,978,no
60,54660,0.156,1.6,south,yes,4,7864,no
57,47832,0.375,14.4,north,no,1,944,yes
66,27191,0.228,0.5,south,no,2,2488,yes
43,26463,0.275,0.6,inland,yes,3,6068,no
52,33221,0.403,8.7,south,yes,0,7633,no
51,53842,0.095,9,north,yes,3,3010,yes
47,59271,0.236,5.7,south,yes,1,41,yes
61,58429,0.046,7.8,south,yes,5,2934,yes
34,26195,0.213,7.5,north,no,1,4122,no
55,23295,0.302,3.2,north,no,0,6663,yes
40,47057,0.365,4,inland,no,4,4612,yes
61,37481,0.284,4.9,north,yes,5,9130,yes
38,32928,0.064,6.9,inland,no,0,1945,no
39,52257,0.02,3.7,coastal,yes,2,7329,yes
56,27357,0.304,1.2,coastal,no,4,1011,yes
60,46083,0.39,9.8,north,no,3,6117,yes
61,48963,0.149,2.6,coastal,yes,1,507,yes
31,28698,0.095,6.9,north,no,2,104,no
40,28170,0.457,8.5,north,yes,5,5660,yes
27,81379,0.276,5.7,inland,no,1,3053,yes
32,50396,0.503,7.9,inland,yes,2,1262,no
64,35303,0.142,8.8,north,no,5,1583,yes
36,32852,0.02,12,north,no,4,2444,yes
64,29322,0.238,0,south,yes,2,1916,no
61,31141,0.033,11.9,inland,yes,0,6992,no
39,82509,0.422,10.1,coastal,no,3,9540,yes
58,42550,0.214,6.3,north,no,4,9399,no
53,24181,0.556,9.4,inland,no,5,7098,yes
43,69774,0.205,16.7,coastal,no,1,9341,yes
48,60089,0.245,1.1,south,yes,0,3522,yes
